profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,64.267,0x330,5,6,SCCM_info,3.3021910590070918,1.0,4,4,7,22,0.5445577771397069
generic-event,事件附近变化,64.148,0x23A,2,7,,3.109178892761768,1.0,4,4,6,20,1.2761487504907434
generic-event,事件附近变化,63.707,0x39D,2,6,IBST_status,12.766871849633532,0.5,2,4,20,16,3.67551777873876
generic-event,事件附近变化,63.417,0x321,7,1,VCFRONT_sensors,6.4781690191081935,0.75,3,4,4,6,0.9425117077858538
generic-event,事件附近变化,63.165,0x709,0,4,,5.51416791445707,0.75,3,4,6,11,0.5383496114553576
generic-event,事件附近变化,62.803,0x361,2,0,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,62.803,0x361,2,1,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,62.803,0x361,2,2,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,62.803,0x361,2,3,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,62.803,0x361,2,4,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,62.803,0x361,2,5,,34.33333333333333,0.5,2,4,2,0,
generic-event,事件附近变化,61.871,0x330,1,0,SCCM_info,3.426325481707959,1.0,4,4,5,15,0.6149040119950628
generic-event,事件附近变化,61.683,0x709,0,7,,3.1624762984505814,1.0,4,4,7,23,0.9627135768432816
generic-event,事件附近变化,61.683,0x709,2,3,,3.1624762984505814,1.0,4,4,7,23,1.0308525593020403
generic-event,事件附近变化,61.679,0x55D,2,7,,13.337357629957951,0.5,2,4,2,1,
generic-event,事件附近变化,60.644,0x319,2,2,VCSEC_info,5.5599480683776505,0.75,3,4,5,9,1.2431904322178815
generic-event,事件附近变化,60.525,0x7B1,0,2,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,0,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,1,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,2,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,3,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,4,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,6,5,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,0,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,1,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,2,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,3,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,4,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,60.525,0x7B1,7,5,,5.5599480683776505,0.75,3,4,5,9,1.0154956902772676
generic-event,事件附近变化,59.475,0x3C4,7,3,PCS_info,3.109178892761768,0.75,3,4,6,20,1.1913983154775267
generic-event,事件附近变化,59.328,0x3C4,0,3,PCS_info,3.0461891106486227,0.75,3,4,3,10,0.5999886723164699
generic-event,事件附近变化,59.328,0x3C4,0,4,PCS_info,3.0461891106486227,0.75,3,4,3,10,0.6999386682176908
generic-event,事件附近变化,59.241,0x39D,2,5,IBST_status,8.768624571998627,0.5,2,4,22,26,3.7915612807578096
generic-event,事件附近变化,59.208,0x3C4,4,6,PCS_info,3.0320728463712325,0.75,3,4,9,31,0.9203452711051716
generic-event,事件附近变化,59.208,0x3C4,7,1,PCS_info,3.0320728463712325,0.75,3,4,9,31,0.9131392390581629
generic-event,事件附近变化,59.197,0x7D5,6,3,DI_debug,9.669385284678732,0.5,2,4,6,6,1.0602041467437444
generic-event,事件附近变化,59.067,0x7B1,0,1,,5.037162385582363,0.75,3,4,5,10,1.1039489132938105
generic-event,事件附近变化,58.878,0x7B1,0,0,,4.92287568201635,0.75,3,4,10,21,1.9204103274223734
generic-event,事件附近变化,58.322,0x709,4,5,,5.481817718224222,0.75,3,4,7,13,1.298216688285563
generic-event,事件附近变化,57.342,0x609,4,1,,3.739225230159223,0.75,3,4,104,294,3.70673367170331
generic-event,事件附近变化,56.852,0x609,3,0,,3.598311574982191,0.75,3,4,96,282,4.555474384414201
generic-event,事件附近变化,56.799,0x400,2,3,,3.401928870754062,0.75,3,4,4,12,1.2652385414698648
