rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
25,13.060,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,20.000,打开驾驶门,yes,19.545100,-0.454900,37.75,37.625
25,13.060,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,30.000,坐入驾驶位并关闭驾驶门,yes,30.945800,+0.945800,37.625,37.75
25,13.060,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,40.000,踩下制动踏板5秒,yes,38.546200,-1.453800,37.625,37.875
25,13.060,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3PTemp,degC,45.000,松开制动踏板,yes,44.246900,-0.753100,37.875,37.75
26,13.031,0x401,BMS_brickVoltages,BMS_brick47,V,20.000,打开驾驶门,yes,19.721300,-0.278700,3.2847,3.2848
26,13.031,0x401,BMS_brickVoltages,BMS_brick47,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.721500,-0.278500,3.2846,3.2845
26,13.031,0x401,BMS_brickVoltages,BMS_brick47,V,40.000,踩下制动踏板5秒,yes,40.722400,+0.722400,3.2846,3.2842
26,13.031,0x401,BMS_brickVoltages,BMS_brick47,V,45.000,松开制动踏板,yes,45.722200,+0.722200,3.2842,3.2844
27,13.021,0x401,BMS_brickVoltages,BMS_brick104,V,20.000,打开驾驶门,yes,19.101000,-0.899000,3.285,3.2851
27,13.021,0x401,BMS_brickVoltages,BMS_brick104,V,30.000,坐入驾驶位并关闭驾驶门,yes,31.101300,+1.101300,3.2849,3.285
27,13.021,0x401,BMS_brickVoltages,BMS_brick104,V,40.000,踩下制动踏板5秒,yes,40.101500,+0.101500,3.285,3.2849
27,13.021,0x401,BMS_brickVoltages,BMS_brick104,V,45.000,松开制动踏板,yes,46.101600,+1.101600,3.2847,3.2848
28,13.007,0x401,BMS_brickVoltages,BMS_brick27,V,20.000,打开驾驶门,yes,19.601300,-0.398700,3.2843,3.2844
28,13.007,0x401,BMS_brickVoltages,BMS_brick27,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.601500,-0.398500,3.2841,3.2842
28,13.007,0x401,BMS_brickVoltages,BMS_brick27,V,40.000,踩下制动踏板5秒,yes,40.601700,+0.601700,3.2842,3.2837
28,13.007,0x401,BMS_brickVoltages,BMS_brick27,V,45.000,松开制动踏板,yes,44.601900,-0.398100,3.2839,3.2838
29,12.991,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_12v,V,20.000,打开驾驶门,yes,20.645200,+0.645200,12.809,12.8144
29,12.991,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_12v,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.145600,+0.145600,12.7981,12.8035
29,12.991,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_12v,V,40.000,踩下制动踏板5秒,yes,39.645900,-0.354100,12.8035,12.7437
29,12.991,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railA_12v,V,45.000,松开制动踏板,yes,45.347100,+0.347100,12.7654,12.809
30,12.971,0x401,BMS_brickVoltages,BMS_brick68,V,20.000,打开驾驶门,yes,20.861400,+0.861400,3.2837,3.2836
30,12.971,0x401,BMS_brickVoltages,BMS_brick68,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.861800,-0.138200,3.2835,3.2836
30,12.971,0x401,BMS_brickVoltages,BMS_brick68,V,40.000,踩下制动踏板5秒,yes,40.861900,+0.861900,3.2836,3.2831
30,12.971,0x401,BMS_brickVoltages,BMS_brick68,V,45.000,松开制动踏板,yes,45.861900,+0.861900,3.2832,3.2833
31,12.966,0x401,BMS_brickVoltages,BMS_brick63,V,20.000,打开驾驶门,yes,19.841300,-0.158700,3.2846,3.2847
31,12.966,0x401,BMS_brickVoltages,BMS_brick63,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.841700,-0.158300,3.2844,3.2845
31,12.966,0x401,BMS_brickVoltages,BMS_brick63,V,40.000,踩下制动踏板5秒,yes,40.842400,+0.842400,3.2845,3.2839
31,12.966,0x401,BMS_brickVoltages,BMS_brick63,V,45.000,松开制动踏板,yes,45.842300,+0.842300,3.284,3.2842
32,12.957,0x38D,TAS_warningMatrix3,TAS_w138_shortCircuitFR,,20.000,打开驾驶门,yes,20.292600,+0.292600,1,0
32,12.957,0x38D,TAS_warningMatrix3,TAS_w138_shortCircuitFR,,30.000,坐入驾驶位并关闭驾驶门,yes,29.292900,-0.707100,1,0
32,12.957,0x38D,TAS_warningMatrix3,TAS_w138_shortCircuitFR,,40.000,踩下制动踏板5秒,yes,41.293300,+1.293300,1,0
32,12.957,0x38D,TAS_warningMatrix3,TAS_w138_shortCircuitFR,,45.000,松开制动踏板,yes,45.293700,+0.293700,1,0
33,12.957,0x7AA,HVP_debugMessage,HVP_shuntRefVoltageDbg,V,20.000,打开驾驶门,yes,20.180000,+0.180000,0.022,0.019
33,12.957,0x7AA,HVP_debugMessage,HVP_shuntRefVoltageDbg,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.180500,-0.819500,0.019,0.022
33,12.957,0x7AA,HVP_debugMessage,HVP_shuntRefVoltageDbg,V,40.000,踩下制动踏板5秒,yes,40.179900,+0.179900,0.022,0.019
33,12.957,0x7AA,HVP_debugMessage,HVP_shuntRefVoltageDbg,V,45.000,松开制动踏板,yes,45.181800,+0.181800,0.019,0.016
34,12.940,0x401,BMS_brickVoltages,BMS_brick10,V,20.000,打开驾驶门,yes,21.481500,+1.481500,3.2849,3.2848
34,12.940,0x401,BMS_brickVoltages,BMS_brick10,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.481800,+0.481800,3.2847,3.2848
34,12.940,0x401,BMS_brickVoltages,BMS_brick10,V,40.000,踩下制动踏板5秒,yes,40.482200,+0.482200,3.2847,3.2843
34,12.940,0x401,BMS_brickVoltages,BMS_brick10,V,45.000,松开制动踏板,yes,44.482000,-0.518000,3.2844,3.2845
