rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
138,38.200,瞬时请求候选,0x3C9,8,2,5,0,0,0.6500,6,49,0.222350
139,38.200,瞬时请求候选,0x3C9,8,2,6,0,0,0.6500,6,49,0.222350
140,38.200,瞬时请求候选,0x3C9,8,2,7,0,0,0.6500,6,49,0.222350
141,38.200,瞬时请求候选,0x3C9,8,3,1,0,0,0.6500,6,49,0.222350
142,38.200,瞬时请求候选,0x3C9,8,3,3,0,0,0.6500,6,49,0.222350
143,38.200,瞬时请求候选,0x3C9,8,3,4,0,0,0.6500,6,49,0.222350
144,38.200,瞬时请求候选,0x3C9,8,3,6,0,0,0.6500,6,49,0.222350
145,38.200,瞬时请求候选,0x3C9,8,3,7,0,0,0.6500,6,49,0.222350
146,38.200,瞬时请求候选,0x3C9,8,4,5,0,0,0.6500,6,49,0.222350
147,38.200,瞬时请求候选,0x3C9,8,4,6,0,0,0.6500,6,49,0.222350
148,38.200,瞬时请求候选,0x3DD,8,1,0,不一致,1,0.5500,6,49,0.589300
149,38.200,瞬时请求候选,0x3DD,8,1,4,1,1,0.5750,6,49,0.589850
150,38.200,瞬时请求候选,0x3DD,8,5,3,0,0,0.6750,6,49,0.589300
151,38.000,瞬时请求候选,0x3C9,8,1,7,1,1,0.6500,6,50,0.721750
152,38.000,瞬时请求候选,0x3C9,8,3,2,1,1,0.6500,6,50,0.721750
153,38.000,瞬时请求候选,0x3C9,8,4,0,1,1,0.6500,6,50,0.721750
154,38.000,瞬时请求候选,0x3DB,8,3,0,0,0,0.7125,6,50,0.580950
155,37.800,瞬时请求候选,0x38B,8,4,3,1,不一致,0.6000,6,51,0.673300
156,37.800,瞬时请求候选,0x3C9,8,1,3,0,0,0.7000,6,51,0.224100
157,37.800,瞬时请求候选,0x3C9,8,1,4,0,0,0.7000,6,51,0.224100
158,37.800,瞬时请求候选,0x3C9,8,3,0,0,0,0.7000,6,51,0.224100
159,37.800,瞬时请求候选,0x3C9,8,5,0,0,0,0.7000,6,51,0.224100
160,37.800,瞬时请求候选,0x3F2,8,0,2,不一致,0,0.7000,5,11,0.757900
161,37.400,瞬时请求候选,0x2E2,8,6,6,0,0,0.9250,6,53,0.438900
162,37.400,瞬时请求候选,0x3BD,8,0,0,不一致,0,0.6000,6,53,-0.157050
163,37.200,瞬时请求候选,0x709,8,1,0,0,不一致,0.5831,6,54,0.610850
164,37.000,瞬时请求候选,0x2E2,8,6,7,0,0,0.9200,6,55,0.438900
165,37.000,瞬时请求候选,0x324,8,0,5,不一致,1,0.5250,6,55,-0.156750
