session_id,can_id,field,expected_on_direction,on_event_s,on_transition_s,on_before,on_after,on_direction_match,on_delay_s,expected_off_direction,off_event_s,off_transition_s,off_before,off_after,off_direction_match,off_delay_s,total_full_session_transitions
S0016,0x282,B3.b3,0->1,60.085494,62.6077,0,1,True,2.522206,1->0,160.084906,160.5142,1,0,True,0.429294,2
S0016,0x282,B4.b6,1->0,60.085494,60.6074,1,0,True,0.521906,0->1,160.084906,160.5142,0,1,True,0.429294,12
S0016,0x282,B4.b7,1->0,60.085494,60.6074,1,0,True,0.521906,0->1,160.084906,160.5142,0,1,True,0.429294,6
S0016,0x282,B5.b0,1->0,60.085494,60.6074,1,0,True,0.521906,0->1,160.084906,160.5142,0,1,True,0.429294,4
S0016,0x282,B5.b1,1->0,60.085494,60.6074,1,0,True,0.521906,0->1,160.084906,160.5142,0,1,True,0.429294,4
S0016,0x282,B5.b2,0->1,60.085494,60.6074,0,1,True,0.521906,1->0,160.084906,160.5142,1,0,True,0.429294,4
S0016,0x282,B6.b3,1->0,60.085494,60.7075,1,0,True,0.622006,0->1,160.084906,160.6142,0,1,True,0.529294,8
S0016,0x282,B6.b4,0->1,60.085494,60.7075,0,1,True,0.622006,1->0,160.084906,160.6142,1,0,True,0.529294,4
S0016,0x289,B1.b4,0->1,60.085494,60.9215,0,1,True,0.836006,1->0,160.084906,160.5286,1,0,True,0.443694,6
S0016,0x289,B2.b3,0->1,60.085494,60.9215,0,1,True,0.836006,1->0,160.084906,160.5286,1,0,True,0.443694,6
S0016,0x289,B3.b2,0->1,60.085494,60.9215,0,1,True,0.836006,1->0,160.084906,160.5286,1,0,True,0.443694,8
S0016,0x2A1,B5.b0,0->1,60.085494,63.3711,0,1,True,3.285606,1->0,160.084906,160.3758,1,0,True,0.290894,2
S0016,0x2A6,B0.b6,0->1,60.085494,63.8182,0,1,True,3.732706,1->0,160.084906,160.4162,1,0,True,0.331294,46
S0016,0x2A7,B7.b0,0->1,60.085494,63.819,0,1,True,3.733506,1->0,160.084906,160.4166,1,0,True,0.331694,2
S0016,0x2A7,B7.b2,1->0,60.085494,63.819,1,0,True,3.733506,0->1,160.084906,160.4166,0,1,True,0.331694,2
S0016,0x2BF,B5.b3,0->1,60.085494,63.4591,0,1,True,3.373606,1->0,160.084906,160.4648,1,0,True,0.379894,2
S0016,0x2BF,B5.b4,0->1,60.085494,60.459,0,1,True,0.373506,1->0,160.084906,160.4648,1,0,True,0.379894,2
S0016,0x2F3,B3.b2,0->1,60.085494,60.0371,0,1,True,-0.048394,1->0,160.084906,160.011,1,0,True,-0.073906,2
S0016,0x323,B4.b1,1->0,60.085494,61.3259,1,0,True,1.240406,0->1,160.084906,161.3325,0,1,True,1.247594,2
S0016,0x323,B4.b2,0->1,60.085494,61.3259,0,1,True,1.240406,1->0,160.084906,161.3325,1,0,True,1.247594,2
S0016,0x361,B3.b1,1->0,60.085494,61.2593,1,0,True,1.173806,0->1,160.084906,161.2643,0,1,True,1.179394,2
S0016,0x361,B3.b2,0->1,60.085494,61.2593,0,1,True,1.173806,1->0,160.084906,161.2643,1,0,True,1.179394,2
S0016,0x361,B4.b0,1->0,60.085494,62.2594,1,0,True,2.173906,0->1,160.084906,161.2643,0,1,True,1.179394,2
S0016,0x361,B4.b1,0->1,60.085494,62.2594,0,1,True,2.173906,1->0,160.084906,161.2643,1,0,True,1.179394,2
S0016,0x421,B0.b4,0->1,60.085494,64.0582,0,1,True,3.972706,1->0,160.084906,,,,False,,2
S0016,0x421,B0.b5,0->1,60.085494,64.0582,0,1,True,3.972706,1->0,160.084906,,,,False,,2
S0016,0x421,B0.b7,0->1,60.085494,64.0582,0,1,True,3.972706,1->0,160.084906,,,,False,,2
S0016,0x782,B0.b5,0->1,60.085494,,,,False,,1->0,160.084906,,,,False,,2
S0017,0x1FA,B0.b3,0->1,60.076215,60.2971,0,1,True,0.220885,1->0,160.033218,160.203,1,0,True,0.169782,2
S0017,0x1FA,B0.b4,0->1,60.076215,60.2971,0,1,True,0.220885,1->0,160.033218,160.203,1,0,True,0.169782,2
S0017,0x20C,B1.b3,0->1,60.076215,60.1385,0,1,True,0.062285,1->0,160.033218,160.0454,1,0,True,0.012182,2
S0017,0x20C,B1.b4,0->1,60.076215,60.2388,0,1,True,0.162585,1->0,160.033218,160.1454,1,0,True,0.112182,2
S0017,0x20C,B4.b1,0->1,60.076215,61.1388,0,1,True,1.062585,1->0,160.033218,160.0454,1,0,True,0.012182,2
S0017,0x20C,B4.b2,0->1,60.076215,60.2388,0,1,True,0.162585,1->0,160.033218,160.0454,1,0,True,0.012182,10
S0017,0x20C,B4.b3,0->1,60.076215,60.2388,0,1,True,0.162585,1->0,160.033218,160.0454,1,0,True,0.012182,6
S0017,0x20C,B5.b0,0->1,60.076215,60.9389,0,1,True,0.862685,1->0,160.033218,160.0454,1,0,True,0.012182,2
S0017,0x20C,B6.b4,0->1,60.076215,60.1385,0,1,True,0.062285,1->0,160.033218,160.0454,1,0,True,0.012182,2
S0017,0x20C,B6.b5,0->1,60.076215,60.1385,0,1,True,0.062285,1->0,160.033218,160.0454,1,0,True,0.012182,2
S0017,0x20C,B7.b1,0->1,60.076215,60.7389,0,1,True,0.662685,1->0,160.033218,160.4453,1,0,True,0.412082,10
S0017,0x20C,B7.b2,0->1,60.076215,61.0389,0,1,True,0.962685,1->0,160.033218,160.5454,1,0,True,0.512182,6
S0017,0x20C,B7.b3,0->1,60.076215,61.6388,0,1,True,1.562585,1->0,160.033218,160.6454,1,0,True,0.612182,2
S0017,0x253,B7.b4,1->0,60.076215,60.3473,1,0,True,0.271085,0->1,160.033218,160.1508,0,1,True,0.117582,2
S0017,0x282,B0.b2,0->1,60.076215,60.3383,0,1,True,0.262085,1->0,160.033218,160.2448,1,0,True,0.211582,2
S0017,0x282,B0.b5,0->1,60.076215,61.0384,0,1,True,0.962185,1->0,160.033218,160.4448,1,0,True,0.411582,6
S0017,0x282,B0.b6,0->1,60.076215,61.7382,0,1,True,1.661985,1->0,160.033218,160.5447,1,0,True,0.511482,2
S0017,0x282,B1.b2,0->1,60.076215,61.3384,0,1,True,1.262185,1->0,160.033218,160.2448,1,0,True,0.211582,2
S0017,0x282,B1.b3,0->1,60.076215,60.4383,0,1,True,0.362085,1->0,160.033218,160.2448,1,0,True,0.211582,10
S0017,0x282,B1.b4,0->1,60.076215,60.4383,0,1,True,0.362085,1->0,160.033218,160.2448,1,0,True,0.211582,6
S0017,0x282,B2.b1,0->1,60.076215,61.1383,0,1,True,1.062085,1->0,160.033218,160.2448,1,0,True,0.211582,2
S0017,0x282,B2.b4,0->1,60.076215,60.7381,0,1,True,0.661885,1->0,160.033218,160.4448,1,0,True,0.411582,20
S0017,0x282,B2.b5,0->1,60.076215,60.5381,0,1,True,0.461885,1->0,160.033218,160.4448,1,0,True,0.411582,22
S0017,0x282,B2.b6,0->1,60.076215,60.6381,0,1,True,0.561885,1->0,160.033218,160.5447,1,0,True,0.511482,16
S0017,0x282,B3.b3,0->1,60.076215,62.6385,0,1,True,2.562285,1->0,160.033218,160.4448,1,0,True,0.411582,2
S0017,0x282,B4.b6,1->0,60.076215,60.6381,1,0,True,0.561885,0->1,160.033218,160.4448,0,1,True,0.411582,10
S0017,0x282,B4.b7,1->0,60.076215,60.6381,1,0,True,0.561885,0->1,160.033218,160.4448,0,1,True,0.411582,6
