profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,72.895,0x23E,0,3,,6.092855633512717,1.0,2,2,7,35,4.469751071039733
window,按钮事件:手动未知方向松开,72.895,0x23E,0,3,,6.092855633512717,1.0,2,2,7,35,4.469751071039733
generic-event,事件附近变化,72.767,0x1D8,7,2,DIS_torque,4.603925106149854,1.0,2,2,103,701,11.251703570958872
window,按钮事件:手动未知方向松开,72.767,0x1D8,7,2,DIS_torque,4.603925106149854,1.0,2,2,103,701,11.251703570958872
generic-event,事件附近变化,72.704,0x1D8,1,1,DIS_torque,4.520825069277064,1.0,2,2,152,1054,13.777949433142162
window,按钮事件:手动未知方向松开,72.704,0x1D8,1,1,DIS_torque,4.520825069277064,1.0,2,2,152,1054,13.777949433142162
generic-event,事件附近变化,72.641,0x268,0,0,DI_systemPower,4.707517473584019,1.0,2,2,9,59,3.165594553714623
window,按钮事件:手动未知方向松开,72.641,0x268,0,0,DI_systemPower,4.707517473584019,1.0,2,2,9,59,3.165594553714623
generic-event,事件附近变化,72.630,0x118,7,4,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
window,按钮事件:手动未知方向松开,72.630,0x118,7,4,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
generic-event,事件附近变化,72.630,0x118,7,5,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
window,按钮事件:手动未知方向松开,72.630,0x118,7,5,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
generic-event,事件附近变化,72.630,0x118,7,6,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
window,按钮事件:手动未知方向松开,72.630,0x118,7,6,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
generic-event,事件附近变化,72.630,0x118,7,7,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
window,按钮事件:手动未知方向松开,72.630,0x118,7,7,DI_systemStatus,5.5969449335105805,1.0,2,2,5,27,3.243692323086133
generic-event,事件附近变化,72.612,0x23E,5,3,,6.023296048001651,1.0,2,2,5,25,3.722459535543734
window,按钮事件:手动未知方向松开,72.612,0x23E,5,3,,6.023296048001651,1.0,2,2,5,25,3.722459535543734
generic-event,事件附近变化,72.598,0x1D8,2,7,DIS_torque,4.721927301797886,1.0,2,2,93,617,12.360650507541479
window,按钮事件:手动未知方向松开,72.598,0x1D8,2,7,DIS_torque,4.721927301797886,1.0,2,2,93,617,12.360650507541479
generic-event,事件附近变化,72.313,0x126,1,7,DI_hvBusStatus,4.373407204445636,1.0,2,2,17,121,4.592635350000579
window,按钮事件:手动未知方向松开,72.313,0x126,1,7,DI_hvBusStatus,4.373407204445636,1.0,2,2,17,121,4.592635350000579
generic-event,事件附近变化,72.304,0x3DD,4,5,,4.286091046918376,1.0,2,2,3,21,0.9622976116549242
