event_id,event_time_s,signal_key,can_id,value,native_sample_time_s,sample_age_s,sampling_rule
E09,540.415500,PCS_dcdcHvBusVolt,0x2B4,178.271484,540.372800,0.042700,latest past sample; never future fill
E09,540.415500,HVP_hvilStatus,0x20A,STATUS_OK,540.324000,0.091500,latest past sample; never future fill
E09,540.415500,HVP_packContNegativeState,0x20A,ECONOMIZED,540.324000,0.091500,latest past sample; never future fill
E09,540.415500,HVP_packContPositiveState,0x20A,ECONOMIZED,540.324000,0.091500,latest past sample; never future fill
E09,540.415500,PCS_dcdcMainState,0x224,STANDBY,540.372600,0.042900,latest past sample; never future fill
E09,540.415500,PCS_dcdc12VSupportStatus,0x224,ACTIVE,540.372600,0.042900,latest past sample; never future fill
E09,540.415500,PCS_dcdcLvBusVolt,0x2B4,12.695312,540.372800,0.042700,latest past sample; never future fill
E10,545.267000,VCLEFT_frontLatchStatus,0x102,CLOSED,545.217500,0.049500,latest past sample; never future fill
E10,545.267000,UI_readyForDrive,0x353,1,544.448600,0.818400,latest past sample; never future fill
E10,545.267000,BMS_hvState,0x212,DOWN,545.170600,0.096400,latest past sample; never future fill
E10,545.267000,BMS_contactorState,0x212,CLOSED,545.170600,0.096400,latest past sample; never future fill
E10,545.267000,BMS_packVoltage,0x132,353.4,545.257400,0.009600,latest past sample; never future fill
E10,545.267000,PCS_dcdcHvBusVolt,0x2B4,178.271484,545.173600,0.093400,latest past sample; never future fill
E10,545.267000,HVP_hvilStatus,0x20A,STATUS_OK,544.324000,0.943000,latest past sample; never future fill
E10,545.267000,HVP_packContNegativeState,0x20A,ECONOMIZED,544.324000,0.943000,latest past sample; never future fill
E10,545.267000,HVP_packContPositiveState,0x20A,ECONOMIZED,544.324000,0.943000,latest past sample; never future fill
E10,545.267000,PCS_dcdcMainState,0x224,STANDBY,545.173400,0.093600,latest past sample; never future fill
E10,545.267000,PCS_dcdc12VSupportStatus,0x224,ACTIVE,545.173400,0.093600,latest past sample; never future fill
E10,545.267000,PCS_dcdcLvBusVolt,0x2B4,12.8125,545.173600,0.093400,latest past sample; never future fill
E11,555.426200,VCLEFT_frontLatchStatus,0x102,CLOSED,555.418300,0.007900,latest past sample; never future fill
E11,555.426200,UI_readyForDrive,0x353,1,554.443500,0.982700,latest past sample; never future fill
E11,555.426200,BMS_hvState,0x212,DOWN,555.370800,0.055400,latest past sample; never future fill
E11,555.426200,BMS_contactorState,0x212,CLOSED,555.370800,0.055400,latest past sample; never future fill
E11,555.426200,BMS_packVoltage,0x132,353.41,555.417600,0.008600,latest past sample; never future fill
E11,555.426200,PCS_dcdcHvBusVolt,0x2B4,178.271484,555.373200,0.053000,latest past sample; never future fill
E11,555.426200,HVP_hvilStatus,0x20A,STATUS_OK,555.324000,0.102200,latest past sample; never future fill
