signal,time_s,value
BMS_packVoltage,5.2316,347.26
BMS_packVoltage,5.2418,347.34000000000003
BMS_packVoltage,5.2518,347.26
BMS_packVoltage,5.2616,347.26
BMS_packVoltage,5.2716,347.13
BMS_packVoltage,5.2818,347.26
BMS_packVoltage,5.2916,347.11
BMS_packVoltage,5.3016,347.14
BMS_packVoltage,5.3116,347.23
BMS_packVoltage,5.3216,347.06
BMS_packVoltage,5.3316,347.21
BMS_packVoltage,5.3418,347.21
BMS_packVoltage,5.3516,347.27
BMS_packVoltage,5.3617,347.19
BMS_packVoltage,5.3716,347.08
BMS_packVoltage,5.3818,347.11
BMS_packVoltage,5.3916,347.14
BMS_packVoltage,5.4016,347.16
BMS_packVoltage,5.4116,347.12
BMS_packVoltage,5.4216,347.2
BMS_packVoltage,5.4316,347.26
BMS_packVoltage,5.4416,347.26
BMS_packVoltage,5.4516,347.19
BMS_packVoltage,5.4617,347.21
BMS_packVoltage,5.4716,347.34000000000003
BMS_packVoltage,5.4817,347.31
BMS_packVoltage,5.4918,347.2
BMS_packVoltage,5.5018,347.19
BMS_packVoltage,5.5116,347.26
BMS_packVoltage,5.5216,347.27
BMS_packVoltage,5.5316,347.16
BMS_packVoltage,5.5416,347.19
BMS_packVoltage,5.5516,347.22
BMS_packVoltage,5.5618,347.17
BMS_packVoltage,5.5717,347.46
BMS_packVoltage,5.5818,347.44
BMS_packVoltage,5.5916,347.28000000000003
BMS_packVoltage,5.6016,347.22
BMS_packVoltage,5.6117,347.17
BMS_packVoltage,5.6216,347.25
BMS_packVoltage,5.6316,347.22
BMS_packVoltage,5.6416,347.15000000000003
BMS_packVoltage,5.6516,347.26
BMS_packVoltage,5.6616,347.34000000000003
BMS_packVoltage,5.6716,347.24
BMS_packVoltage,5.6818,347.33
BMS_packVoltage,5.6916,347.18
BMS_packVoltage,5.7016,347.21
BMS_packVoltage,5.7116,347.1
BMS_packVoltage,5.7216,347.07
BMS_packVoltage,5.7316,347.07
BMS_packVoltage,5.7416,347.05
BMS_packVoltage,5.7516,347.32
BMS_packVoltage,5.7618,347.2
BMS_packVoltage,5.7716,347.21
BMS_packVoltage,5.7819,347.22
BMS_packVoltage,5.7916,347.27
BMS_packVoltage,5.8016,347.23
BMS_packVoltage,5.8116,347.19
BMS_packVoltage,5.8216,347.23
BMS_packVoltage,5.8316,347.33
BMS_packVoltage,5.8416,347.2
BMS_packVoltage,5.8516,347.34000000000003
BMS_packVoltage,5.8616,347.22
BMS_packVoltage,5.8716,347.15000000000003
BMS_packVoltage,5.8816,347.14
BMS_packVoltage,5.8918,347.12
BMS_packVoltage,5.9017,347.3
BMS_packVoltage,5.9116,347.35
BMS_packVoltage,5.9216,347.21
BMS_packVoltage,5.9316,347.14
BMS_packVoltage,5.9416,347.22
BMS_packVoltage,5.9516,347.29
BMS_packVoltage,5.9618,347.28000000000003
BMS_packVoltage,5.9717,347.11
BMS_packVoltage,5.9819,347.29
BMS_packVoltage,5.9916,347.28000000000003
BMS_packVoltage,6.0016,347.21
BMS_packVoltage,6.0118,347.26
BMS_packVoltage,6.0216,347.19
BMS_packVoltage,6.0316,347.1
BMS_packVoltage,6.0416,347.14
BMS_packVoltage,6.0516,347.21
BMS_packVoltage,6.0616,347.14
BMS_packVoltage,6.0716,347.31
BMS_packVoltage,6.0818,347.19
BMS_packVoltage,6.0916,347.27
BMS_packVoltage,6.1016,347.32
BMS_packVoltage,6.1116,347.11
BMS_packVoltage,6.1216,347.22
BMS_packVoltage,6.1316,347.14
BMS_packVoltage,6.1416,347.15000000000003
BMS_packVoltage,6.1516,347.05
BMS_packVoltage,6.1617,347.21
