rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
20,12.038,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerTemp,degC,70.000,第二次松开制动踏板,yes,70.736700,+0.736700,38.75,38.875
20,12.038,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerTemp,degC,100.000,第三次松开制动踏板,yes,99.238200,-0.761800,38.875,39
20,12.038,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_leftControllerTemp,degC,130.000,第四次松开制动踏板,yes,129.639500,-0.360500,39,38.875
21,12.036,0x303,OCS1P_status,OCS1P_statusChecksum,,40.000,第一次松开制动踏板,yes,38.991000,-1.009000,255,0
21,12.036,0x303,OCS1P_status,OCS1P_statusChecksum,,70.000,第二次松开制动踏板,yes,69.993100,-0.006900,174,0
21,12.036,0x303,OCS1P_status,OCS1P_statusChecksum,,100.000,第三次松开制动踏板,yes,99.995300,-0.004700,13,255
21,12.036,0x303,OCS1P_status,OCS1P_statusChecksum,,130.000,第四次松开制动踏板,yes,129.997100,-0.002900,255,0
22,12.008,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_ESPMotorTemp,degC,40.000,第一次松开制动踏板,yes,38.934200,-1.065800,39.375,39.25
22,12.008,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_ESPMotorTemp,degC,70.000,第二次松开制动踏板,yes,69.337400,-0.662600,39.375,39.25
22,12.008,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_ESPMotorTemp,degC,100.000,第三次松开制动踏板,yes,99.738600,-0.261400,39.25,39.125
22,12.008,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_ESPMotorTemp,degC,130.000,第四次松开制动踏板,yes,130.139900,+0.139900,39.375,39.625
23,11.956,0x2C4,PCS_logging,PCS_dcdcCLAControllerOutput,1,40.000,第一次松开制动踏板,yes,40.053800,+0.053800,0.179,0.178
23,11.956,0x2C4,PCS_logging,PCS_dcdcCLAControllerOutput,1,70.000,第二次松开制动踏板,yes,69.451500,-0.548500,0.188,0.189
23,11.956,0x2C4,PCS_logging,PCS_dcdcCLAControllerOutput,1,100.000,第三次松开制动踏板,yes,100.949800,+0.949800,0.199,0.193
23,11.956,0x2C4,PCS_logging,PCS_dcdcCLAControllerOutput,1,130.000,第四次松开制动踏板,yes,130.347900,+0.347900,0.191,0.183
24,11.942,0x401,BMS_brickVoltages,BMS_brick91,V,40.000,第一次松开制动踏板,yes,39.587200,-0.412800,3.2846,3.2847
24,11.942,0x401,BMS_brickVoltages,BMS_brick91,V,70.000,第二次松开制动踏板,yes,69.588400,-0.411600,3.2846,3.2845
24,11.942,0x401,BMS_brickVoltages,BMS_brick91,V,100.000,第三次松开制动踏板,yes,99.589100,-0.410900,3.2845,3.2844
24,11.942,0x401,BMS_brickVoltages,BMS_brick91,V,130.000,第四次松开制动踏板,yes,130.590500,+0.590500,3.2845,3.2846
25,11.939,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3STemp,degC,40.000,第一次松开制动踏板,yes,38.834500,-1.165500,38.5,38.625
25,11.939,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3STemp,degC,70.000,第二次松开制动踏板,yes,69.237400,-0.762600,38.625,38.5
25,11.939,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3STemp,degC,100.000,第三次松开制动踏板,yes,99.638600,-0.361400,38.625,38.5
25,11.939,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_EPAS3STemp,degC,130.000,第四次松开制动踏板,yes,130.039500,+0.039500,38.625,38.75
26,11.918,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,40.000,第一次松开制动踏板,yes,40.234600,+0.234600,2.4,2.2
26,11.918,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,70.000,第二次松开制动踏板,yes,70.637400,+0.637400,3.9,3.7
26,11.918,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,100.000,第三次松开制动踏板,yes,99.138200,-0.861800,10,9.3
26,11.918,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,130.000,第四次松开制动踏板,yes,129.539800,-0.460200,4.1,3.7
27,11.908,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLECENTERCrc,,40.000,第一次松开制动踏板,yes,41.575800,+1.575800,0,1642001281
27,11.908,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLECENTERCrc,,70.000,第二次松开制动踏板,yes,69.577700,-0.422300,1642001281,0
27,11.908,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLECENTERCrc,,100.000,第三次松开制动踏板,yes,101.579800,+1.579800,0,1642001281
27,11.908,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLECENTERCrc,,130.000,第四次松开制动踏板,yes,129.582700,-0.417300,1642001281,0
28,11.891,0x401,BMS_brickVoltages,BMS_brick18,V,40.000,第一次松开制动踏板,yes,40.106800,+0.106800,3.2844,3.2843
28,11.891,0x401,BMS_brickVoltages,BMS_brick18,V,70.000,第二次松开制动踏板,yes,70.108300,+0.108300,3.2843,3.2844
28,11.891,0x401,BMS_brickVoltages,BMS_brick18,V,100.000,第三次松开制动踏板,yes,101.108400,+1.108400,3.2842,3.2841
28,11.891,0x401,BMS_brickVoltages,BMS_brick18,V,130.000,第四次松开制动踏板,yes,130.108600,+0.108600,3.2842,3.2843
29,11.866,0x401,BMS_brickVoltages,BMS_brick56,V,40.000,第一次松开制动踏板,yes,40.346800,+0.346800,3.2835,3.2836
29,11.866,0x401,BMS_brickVoltages,BMS_brick56,V,70.000,第二次松开制动踏板,yes,70.348300,+0.348300,3.2835,3.2836
29,11.866,0x401,BMS_brickVoltages,BMS_brick56,V,100.000,第三次松开制动踏板,yes,100.349100,+0.349100,3.2833,3.2835
29,11.866,0x401,BMS_brickVoltages,BMS_brick56,V,130.000,第四次松开制动踏板,yes,129.348900,-0.651100,3.2834,3.2835
30,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARComponentID,,40.000,第一次松开制动踏板,yes,40.575800,+0.575800,0,1
30,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARComponentID,,70.000,第二次松开制动踏板,yes,68.577700,-1.422300,1,0
30,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARComponentID,,100.000,第三次松开制动踏板,yes,100.579800,+0.579800,0,1
30,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARComponentID,,130.000,第四次松开制动踏板,yes,128.582400,-1.417600,1,0
31,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARCrc,,40.000,第一次松开制动踏板,yes,40.575800,+0.575800,1642001281,17105048
31,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARCrc,,70.000,第二次松开制动踏板,yes,68.577700,-1.422300,17105048,1642001281
31,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARCrc,,100.000,第三次松开制动踏板,yes,100.579800,+0.579800,1642001281,17105048
31,11.849,0x3C9,VCSEC_BLEEndpointInfo,VCSEC_BLEREARCrc,,130.000,第四次松开制动踏板,yes,128.582400,-1.417600,17105048,1642001281
32,11.841,0x401,BMS_brickVoltages,BMS_brick77,V,40.000,第一次松开制动踏板,yes,39.486600,-0.513400,3.285,3.2851
32,11.841,0x401,BMS_brickVoltages,BMS_brick77,V,70.000,第二次松开制动踏板,yes,70.487900,+0.487900,3.285,3.2852
