signal_key,source,can_id,definition_fingerprint,asc_frame_count,asc_dlcs,decoded_count,decode_error_count,first_value,last_value,observed
BMS_contactorState,dbc\tesla_model3.dbc,0x212,212:8:8:3:little_endian:0:1:0,2956,8,2956,0,CLOSED,OPEN,CLOSED | OPENING | OPEN
BMS_hvState,dbc\tesla_model3.dbc,0x212,212:8:16:3:little_endian:0:1:0,2956,8,2956,0,DOWN,DOWN,DOWN
BMS_nmGoingToSleep,dbc\tesla_model3.dbc,0x2F2,2F2:2:0:1:little_endian:0:1:0,2956,2,2956,0,0,0,0
BMS_hvsBusAsleep,dbc\tesla_model3.dbc,0x2F2,2F2:2:2:1:little_endian:0:1:0,2956,2,2956,0,0,1,0 | 1
BMS_nmKeepAwakeReason,dbc\tesla_model3.dbc,0x2F2,2F2:2:4:3:little_endian:0:1:0,2956,2,2956,0,CTRS_CLOSED,NONE_SNA,CTRS_CLOSED | NONE_SNA
DI_systemState,dbc\tesla_model3.dbc,0x118,118:8:16:3:little_endian:0:1:0,0,NO_FRAME,0,0,,,
DI_gear,dbc\tesla_model3.dbc,0x118,118:8:21:3:little_endian:0:1:0,0,NO_FRAME,0,0,,,
GTW_nmGoingToSleep,dbc\tesla_model3.dbc,0x458,458:7:0:1:little_endian:0:1:0,2956,7,2956,0,0,0,0
GTW_chBusAsleep,dbc\tesla_model3.dbc,0x458,458:7:2:1:little_endian:0:1:0,2956,7,2956,0,0,1,0 | 1
GTW_nmKeepAwakeReason,dbc\tesla_model3.dbc,0x458,458:7:4:4:little_endian:0:1:0,2956,7,2956,0,NONE_SNA,NONE_SNA,NONE_SNA
HVP_packContNegativeState,dbc\tesla_model3.dbc,0x20A,20A:6:0:3:little_endian:0:1:0,294,6,294,0,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN
HVP_packContPositiveState,dbc\tesla_model3.dbc,0x20A,20A:6:3:3:little_endian:0:1:0,294,6,294,0,ECONOMIZED,OPEN,ECONOMIZED | OPENING | OPEN
PCS_dcdc12VSupportStatus,dbc\tesla_model3.dbc,0x224,224:8:2:2:little_endian:0:1:0,2943,8,2943,0,ACTIVE,IDLE,ACTIVE | IDLE
PCS_dcdcHvBusDischargeStatus,dbc\tesla_model3.dbc,0x224,224:8:4:2:little_endian:0:1:0,2943,8,2943,0,IDLE,IDLE,IDLE | ACTIVE
PCS_dcdcMainState,dbc\tesla_model3.dbc,0x224,224:8:6:4:little_endian:0:1:0,2943,8,2943,0,STANDBY,STANDBY,STANDBY
PCS_dcdcLvOutputCurrent,dbc\tesla_model3.dbc,0x224,224:8:16:12:little_endian:0:0.1:0,2943,8,2943,0,204.8,204.8,204.8
PCS_dcdcLvBusVolt,dbc\tesla_model3.dbc,0x2C4,2C4:8:5:10:little_endian:0:0.0390625:0,2943,8,141,140,29.375,0,29.375 | 0 | 25.9375 | 37.1875 | 0.3125 | 1.5625 | 1.875
PCS_dcdcHvBusVolt,dbc\tesla_model3.dbc,0x2C4,2C4:8:16:12:little_endian:0:0.146484:0,2943,8,141,140,473.582772,0,473.582772 | 0 | 473.436288
UI_readyForDrive,dbc\tesla_model3.dbc,0xC,C:7:9:1:little_endian:0:1:0,0,NO_FRAME,0,0,,,
