time_s,signal_key,value,raw_hex
54.476800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b5 00
54.576800,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d b7 00
54.776600,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b7 00
54.876800,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d ba 00
55.076700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d bb 00
55.276900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b8 00
55.576600,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d bb 00
55.676900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d bb 00
56.576700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b6 00
56.876700,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b5 00
56.976700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d b8 00
57.176800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b8 00
57.476700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d ba 00
57.576800,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d b7 00
57.676800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b7 00
57.776800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d ba 00
57.976800,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b9 00
58.076700,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b9 00
59.176900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b5 00
59.376900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b6 00
59.476900,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d b8 00
59.576900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b7 00
60.676800,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b8 00
60.777100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bb 00
61.676700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bf 00
61.777300,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d c1 00
61.877200,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c3 00
61.977100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d be 00
62.476900,PCS_dcdcHvBusVolt,178.271484375,0e 05 d3 0d c0 00
62.676700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d bc 00
62.876700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bf 00
62.976800,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d bc 00
63.476600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b8 00
63.576700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b3 00
64.376700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d ba 00
64.476500,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d bc 00
64.576500,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d ba 00
64.676500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bb 00
64.976500,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b8 00
65.076800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bb 00
65.476500,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b1 00
65.576600,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b7 00
65.676600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b7 00
65.776800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b3 00
65.876500,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d b1 00
66.076500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b7 00
66.176600,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d b2 00
66.276500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b7 00
66.676400,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b6 00
66.776500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b0 00
66.876500,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b4 00
67.076400,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b3 00
67.676400,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d b5 00
67.876400,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b5 00
68.876100,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bf 00
69.176100,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c0 00
69.276100,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c2 00
69.376100,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d ba 00
69.776000,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bc 00
69.876100,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d c0 00
69.976000,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d b7 00
70.176000,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d bf 00
70.375900,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d b8 00
70.575800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b9 00
71.875800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b4 00
71.976000,PCS_dcdcHvBusVolt,187.646484375,16 05 d4 0d b5 00
72.275700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b9 00
